,departure_time,arrival_time,distance,duration,days_left,price,origin_airport_capacity,arrival_airport_capacity,origin_GDP,des_GDP,carrier_category,source_city_Chennai,source_city_Hyderabad,source_city_Kolkata,source_city_Mumbai,source_city_New Delhi,destination_city_Chennai,destination_city_Hyderabad,destination_city_Kolkata,destination_city_Mumbai,destination_city_New Delhi
107,2,5,1160.540574,2.33,4,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
108,4,4,1160.540574,2.08,4,6060,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
109,5,5,1160.540574,2.17,4,6060,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
110,0,2,1160.540574,2.25,4,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
111,0,2,1160.540574,2.25,4,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
112,2,5,1160.540574,2.25,4,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
113,5,5,1160.540574,2.25,4,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
114,4,0,1160.540574,2.33,4,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
115,2,5,1160.540574,2.33,4,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
116,1,4,1160.540574,2.17,4,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
117,4,0,1160.540574,2.17,4,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
118,2,2,1160.540574,2.17,4,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
119,2,5,1160.540574,2.17,4,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
120,1,4,1160.540574,2.25,4,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
121,4,0,1160.540574,2.25,4,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
122,0,2,1160.540574,2.25,4,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
123,5,5,1160.540574,2.25,4,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
124,4,4,1160.540574,2.33,4,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
125,4,4,1160.540574,2.5,4,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
126,2,2,1160.540574,2.0,4,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
127,1,4,1160.540574,2.08,4,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
128,1,4,1160.540574,2.17,4,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
129,2,5,1160.540574,2.17,4,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
130,4,4,1160.540574,2.25,4,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
131,2,5,1160.540574,2.25,4,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
132,1,1,1160.540574,2.17,4,6139,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
133,1,4,1160.540574,2.17,4,6165,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
134,4,4,1160.540574,2.33,4,6690,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
135,1,4,1160.540574,2.17,4,6532,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
136,2,5,1160.540574,2.17,5,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
137,2,5,1160.540574,2.17,5,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
138,1,4,1160.540574,2.25,5,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
139,1,4,1160.540574,2.25,5,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
140,1,4,1160.540574,2.33,5,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
141,1,4,1160.540574,2.33,5,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
142,2,5,1160.540574,2.33,5,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
143,2,5,1160.540574,2.33,5,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
144,5,5,1160.540574,2.0,5,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
145,4,4,1160.540574,2.08,5,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
146,1,1,1160.540574,2.17,5,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
147,0,0,1160.540574,2.17,5,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
148,0,2,1160.540574,2.17,5,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
149,0,2,1160.540574,2.17,5,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
150,2,5,1160.540574,2.17,5,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
151,5,5,1160.540574,2.17,5,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
152,1,4,1160.540574,2.25,5,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
153,4,0,1160.540574,2.25,5,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
154,2,5,1160.540574,2.25,5,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
155,4,4,1160.540574,2.33,5,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
156,4,0,1160.540574,2.33,5,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
157,2,2,1160.540574,2.33,5,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
158,2,5,1160.540574,2.33,5,5955,39339998,21747892,598922,224309,1,0,0,0,0,1,0,0,0,1,0
159,1,4,1160.540574,2.17,5,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
160,0,2,1160.540574,2.25,5,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
161,0,2,1160.540574,2.25,5,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
162,2,5,1160.540574,2.25,5,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
163,4,0,1160.540574,2.33,5,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
164,2,5,1160.540574,2.33,5,5954,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
165,1,4,1160.540574,2.17,5,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
166,1,4,1160.540574,2.17,5,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
167,4,0,1160.540574,2.17,5,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
168,2,2,1160.540574,2.17,5,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
169,2,5,1160.540574,2.17,5,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
170,4,0,1160.540574,2.25,5,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
171,0,2,1160.540574,2.25,5,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
172,5,5,1160.540574,2.25,5,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
173,4,4,1160.540574,2.33,5,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
174,4,4,1160.540574,2.5,5,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
175,2,2,1160.540574,2.0,5,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
176,1,4,1160.540574,2.08,5,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
177,1,4,1160.540574,2.17,5,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
178,2,5,1160.540574,2.17,5,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
179,4,4,1160.540574,2.25,5,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
180,2,5,1160.540574,2.25,5,5955,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
181,1,1,1160.540574,2.17,5,6139,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
182,5,5,1160.540574,2.25,5,6532,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
183,2,5,1160.540574,2.17,6,5953,39339998,21747892,598922,224309,0,0,0,0,0,1,0,0,0,1,0
